 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"2","Jenna Story","Wright St.","So.","-","L/DS","111","692","6.23"
"3","Katie Forsythe","Loyola Maryland","So.","5-7","L","122","753","6.17"
"4","Taylor Horsfall","Tulsa","Sr.","5-8","L/DS","132","805","6.10"
"5","Morgan Williams","Fordham","Sr.","5-8","L/DS","106","642","6.06"
"6","Gabriela Macedo","Evansville","Sr.","5-7","L","117","704","6.02"
"7","Allyssa Rizzo","Montana St.","Sr.","5-6","L/DS","112","654","5.84"
"8","Julia WALZ","Bowling Green","So.","5-2","L","122","677","5.55"
"9","Abby Bottomley","High Point","Jr.","5-6","DS","122","673","5.52"
"10","Meagan Sanchez","Western Caro.","Sr.","5-2","L","110","602","5.47"
"11","Ellie Snook","Portland St.","Fr.","5-7","L/DS","111","607","5.47"
"12","Dana Axner","FGCU","So.","5-8","L","105","574","5.47"
"13","Savahna Costello","Cal St. Fullerton","Jr.","5-6","L/DS","95","513","5.40"
"14","Megan Klavitter","Chicago St.","Sr.","5-3","DS","111","597","5.38"
"15","Kathleen Reilly","Western Mich.","Sr.","5-5","L/DS","112","601","5.37"
"16","Madelynn Miller","SFA","Jr.","5-3","L/DS","112","595","5.31"
"17","Lindsay Wightman","Oakland","Jr.","5-6","L/DS","90","478","5.31"
"18","Erin Gardner","Kent St.","So.","5-5","L/DS","113","594","5.26"
"19","Rylee Cookerly","Valparaiso","Jr.","5-2","L","127","667","5.25"
"20","Melina Tedrow","Indiana St.","So.","5-3","L/DS","103","540","5.24"
"21","Karla Seda","Saint Peter's","Jr.","5-2","L","109","565","5.18"
"22","Montana Watts","SMU","Sr.","5-5","L","106","549","5.18"
"23","Lina Bernier","FIU","Sr.","5-11","OH","103","530","5.15"
"24","Megan Kern","Central Mich.","Sr.","5-6","DS","113","578","5.12"
"25","Ella Ratzloff","Rhode Island","So.","5-4","L","95","485","5.11"
"26","Maddy Moser","Loyola Chicago","Sr.","5-6","L/DS","120","612","5.10"
"27","Becca Fernandez","Murray St.","Jr.","5-2","L/DS","102","520","5.10"
"28","Brittany Witt","Creighton","Sr.","5-8","L/DS","107","545","5.09"
"29","Erin Eulitz","Presbyterian","Sr.","5-10","OH","103","520","5.05"
"30","Carissa Barnes","A&M-Corpus Christi","Fr.","5-7","OH","117","590","5.04"
"31","Katie Karbo","Houston","Sr.","5-5","L/DS","141","711","5.04"
"32","Morgan Hentz","Stanford","Sr.","5-9","L","120","603","5.03"
"33","Rocio Moro","North Florida","Fr.","5-5","L/DS","126","633","5.02"
"34","Jess Grabowski","Milwaukee","So.","5-4","DS","115","576","5.01"
"35","Madison Lawler","Southern Miss.","Jr.","5-7","L/DS","100","500","5.00"
"36","Abbi Staack","UNI","Sr.","5-8","DS","129","642","4.98"
"37","Addison Miller","Sam Houston St.","Sr.","5-9","L/DS","134","666","4.97"
"38","Tara Beilsmith","Southeast Mo. St.","Fr.","5-7","DS","129","641","4.97"
"39","Anne Rasmussen","South Dakota","Sr.","5-4","DS","123","607","4.93"
"40","Amber Weber","Marshall","Sr.","5-4","L/DS","101","498","4.93"
"41","Ashton Terrill","Northern Ky.","Jr.","5-8","L/DS","123","606","4.93"
"42","Kylie Murr","Ohio St.","Fr.","5-6","DS","114","559","4.90"
"43","Rachelle Runyon","Rider","Sr.","5-4","DS","115","563","4.90"
"44","Ginny Gerig","Austin Peay","Sr.","5-5","L","117","572","4.89"
"45","Carey Williams","Portland","Jr.","5-7","L/DS","107","523","4.89"
"46","Madelyn St. Germain","UT Arlington","Jr.","5-6","L","127","620","4.88"
"47","Kylee Macke","Drake","Jr.","5-6","DS","121","589","4.87"
"48","Angela McGownd","McNeese","Sr.","5-6","DS","96","466","4.85"
"49","Logan Manusky","Col. of Charleston","Jr.","5-9","OH","102","495","4.85"
"50","Keyton Kinley","Oklahoma","Jr.","5-5","DS","105","506","4.82"
"51","Sophia Theriot","Marist","Fr.","5-7","L","98","468","4.78"
"52","Miranda Karlen","Northern Ill.","Jr.","5-6","L/DS","106","505","4.76"
"53","Andie Hanus","Delaware","Sr.","5-8","L/DS","104","495","4.76"
"54","Nicole Purcell","Ole Miss","Sr.","5-9","L/DS","117","555","4.74"
"55","Natalie Wehner","Jacksonville","Sr.","5-9","L/DS","116","550","4.74"
"56","Ashlyn Eisenga","Central Conn. St.","Jr.","5-6","L","113","535","4.73"
"57","Alejandra Rodriguez","Quinnipiac","Sr.","5-4","L","114","539","4.73"
"58","Averi Salvador","Temple","Jr.","5-5","L/DS","92","434","4.72"
"59","Isabelle Banez","DePaul","Jr.","5-6","L/DS","120","566","4.72"
"60","Madi Fields","Wyoming","Sr.","5-6","L","119","561","4.71"
"","Regan Lough","Villanova","Sr.","5-6","L","112","528","4.71"
"62","Karlee Groover","Kennesaw St.","Jr.","5-8","L/DS","115","541","4.70"
"","Elizabeth LaBue","Butler","So.","5-7","L/DS","115","541","4.70"
"64","Gina Rivera Ortiz","Tennessee St.","So.","5-6","L","104","489","4.70"
"65","Kate Avila","Ball St.","Sr.","5-6","DS","126","589","4.67"
"66","Emma Reilly","Appalachian St.","Jr.","5-6","L/DS","116","542","4.67"
"67","Emily Doss","Central Ark.","Jr.","5-5","L/DS","124","578","4.66"
"68","Kizzy Rodriguez","St. Francis Brooklyn","So.","5-4","L","108","503","4.66"
"69","Nikolette Zanolli","Robert Morris","So.","5-6","L/DS","107","498","4.65"
"70","Bree Long","Canisius","Fr.","5-5","L","120","558","4.65"
"71","Alyssa Zwolensky","Lipscomb","Jr.","5-7","L/DS","105","488","4.65"
"72","Rachael Crucis","Purdue Fort Wayne","Fr.","5-2","L","126","585","4.64"
"73","Hannah Thompson","Bradley","So.","5-8","OH","119","551","4.63"
"74","Ana Oglivie","Army West Point","Jr.","5-6","L","116","537","4.63"
"75","Catelyn Linke","Eastern Wash.","Jr.","5-8","L","79","365","4.62"
"76","Taylor Sharrits","Akron","Jr.","5-7","DS","103","475","4.61"
"77","Dena Tekavec","Eastern Ky.","Jr.","5-6","L/DS","99","456","4.61"
"78","Megan Lohmiller","Northwestern St.","Sr.","5-8","L","119","548","4.61"
"79","Hannah Ramirez","Louisiana","Jr.","5-4","L/DS","106","488","4.60"
"80","Lee Ann Cunningham","Rice","Sr.","5-7","DS","108","497","4.60"
"81","Lauren Bandera","Georgia St.","So.","5-6","L/DS","105","483","4.60"
"82","Laura Rojas","Southern Ill.","Sr.","5-4","L","123","564","4.59"
"83","Taylor Els","Northern Colo.","Sr.","5-6","DS","101","462","4.57"
"84","Teagan DeFalco","Grand Canyon","Jr.","5-8","L","105","480","4.57"
"85","Macy Phillips","Liberty","Jr.","5-7","DS","121","552","4.56"
"86","Macy Reihing","Ohio","Jr.","5-3","L/DS","107","488","4.56"
"87","Courtney Leffel","Arizona St.","Sr.","5-5","L/DS","124","565","4.56"
"88","Halle Johnston","Iowa","Jr.","5-10","DS","115","521","4.53"
"89","Gabby Curry","Kentucky","Jr.","5-8","DS","114","514","4.51"
"90","Shayla Eugene","Bethune-Cookman","Sr.","5-4","DS","118","530","4.49"
"91","Jordyn Klein","SIUE","Jr.","5-4","DS","112","502","4.48"
"92","Reagan Leonard","Fresno St.","Jr.","5-7","L/DS","104","465","4.47"
"93","Marija Popovic","ETSU","Jr.","5-5","L","107","477","4.46"
"94","Landon Jones","Ga. Southern","Jr.","5-6","L/DS","101","450","4.46"
"95","Brandee Markwith","East Carolina","Sr.","5-8","L/DS","113","499","4.42"
"96","Juliana Vaz","Hofstra","Jr.","5-10","OH","110","485","4.41"
"97","Kristen Largay","American","Sr.","5-7","L","118","520","4.41"
"98","Cameron Dames","Princeton","So.","5-9","L","90","396","4.40"
"99","Jennevy Santos","Morgan St.","Jr.","5-4","L/DS","109","478","4.39"
"100","Sarah Smevog","San Jose St.","So.","5-5","L","107","469","4.38"
"101","Abigail Huser","Miami (OH)","Jr.","5-8","DS","86","376","4.37"
"102","Camille Schomer","Eastern Mich.","Sr.","5-5","L/DS","106","463","4.37"
"103","Nashally Eleutiza","Manhattan","Jr.","5-8","L/DS","115","502","4.37"
"104","Raigen Cianciulli","LSU","Jr.","5-4","DS","102","445","4.36"
"105","Kaylie McHugh","Tulane","Sr.","5-6","L","130","567","4.36"
"106","Samaret Caraballo","UTRGV","Jr.","5-10","L","114","497","4.36"
"107","Alexis Dirige","Washington St.","Sr.","5-2","DS","123","535","4.35"
"108","Claire Mountjoy","Omaha","Jr.","5-5","L/DS","129","561","4.35"
"109","Anna Dalla Vecchia","San Francisco","Jr.","5-7","L","108","469","4.34"
"110","Sophie VanSeveren","Holy Cross","Jr.","5-7","L/DS","111","482","4.34"
"111","Carmina Raquel","Penn","So.","5-8","DS","77","334","4.34"
"112","Maura Collins","Dayton","So.","5-6","L/DS","114","493","4.32"
"113","Allison Whitten","Morehead St.","So.","5-8","DS","119","514","4.32"
"114","Diana Giordani","Little Rock","Sr.","5-3","L/DS","95","410","4.32"
"115","Rhyen Neal","Toledo","Jr.","5-8","DS","108","466","4.31"
"116","Chelcie Spence","Stetson","Jr.","5-2","DS","103","444","4.31"
"117","Grace Massey","Oregon St.","Jr.","5-5","DS","122","525","4.30"
"118","Kiani Kerstetter","Stony Brook","Jr.","5-2","L","96","412","4.29"
"119","Andrea Nava","New Orleans","Sr.","5-0","L/DS","111","476","4.29"
"120","Rachel Hess","La Salle","Fr.","5-8","DS","110","471","4.28"
"121","Kaylee Frazier","NC State","So.","5-9","L/DS","105","449","4.28"
"122","Jasmine West","Northern Ariz.","Fr.","5-7","DS","103","440","4.27"
"123","Hali Hillegas","Pittsburgh","Sr.","5-6","L/DS","111","473","4.26"
"124","Andrea Laboy-Rivera","N.C. A&T","So.","5-5","DS","113","481","4.26"
"125","Andrea Aceveda","Furman","Fr.","5-2","L","102","434","4.25"
"126","Alana Washington","Jackson St.","Fr.","5-5","DS","130","552","4.25"
"127","Martha Konovodoff","Marquette","Jr.","5-7","DS","122","518","4.25"
"128","Skyla Childs","Prairie View","Fr.","5-5","DS","135","573","4.24"
"129","Carly Skrabak","Tennessee Tech","Fr.","5-6","L","112","475","4.24"
"130","Elyse Gross","Campbell","Fr.","5-6","DS","105","445","4.24"
"131","Jadyn Tubbs","Pacific","So.","5-5","L","120","508","4.23"
"132","Logan Mosley","Virginia Tech","Fr.","5-6","L/DS","120","507","4.23"
"133","Sarah Thiessen","Oral Roberts","So.","5-5","DS","106","445","4.20"
"134","Ashley Roman","Coppin St.","Fr.","5-5","L/DS","114","477","4.18"
"135","Alexa Hasting","West Virginia","Jr.","5-10","L/DS","108","451","4.18"
"136","Anna Weissmann","UNCW","Jr.","5-6","L","117","486","4.15"
"137","Brooke Stark","Bucknell","Sr.","5-7","L","96","398","4.15"
"138","Hailey Harward","Long Beach St.","Sr.","5-9","L/DS","110","456","4.15"
"139","Madison Cunningham","Eastern Ill.","Jr.","5-8","L/DS","88","364","4.14"
"140","Madi Kutruff","Xavier","Sr.","5-5","DS","103","426","4.14"
"141","Emily Tanski","New Hampshire","Sr.","5-9","L/DS","98","405","4.13"
"142","Bella Bowman","George Washington","So.","5-7","L","100","413","4.13"
"","Jaycie Roberts","Niagara","Jr.","5-7","DS","100","413","4.13"
"144","Allie Gregory","Florida","Sr.","5-6","DS","117","481","4.11"
"145","Erin Pequeno","Lamar University","Sr.","5-4","L/DS","92","378","4.11"
"146","Tijana Milojevic","Seattle U","Jr.","5-7","L","120","491","4.09"
"147","CC McGraw","Minnesota","So.","5-9","L/DS","110","450","4.09"
"148","Kaitlyn Gehler","Memphis","So.","5-6","L","110","449","4.08"
"149","Mackenzie Harris","Abilene Christian","Fr.","5-8","L","80","326","4.08"
"150","Jamye Cox","Michigan St.","Jr.","5-6","L/DS","100","406","4.06"
Reclassifying
"NR","Mackenzie Sullivan","North Ala.","So.","5-10","L","90","377","4.19"
"NR","Nicole Abreu","California Baptist","Sr.","6-0","L/DS","116","482","4.16"

NCAA Women's Volleyball
Division IHitting Percentage
Through Games 12/21/2019

Must average 3.33 attacks per set.
       
"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Errors","Total Attacks","Pct."
"1","Lauren Matthews","Western Ky.","So.","6-0","MH","118","470","86","857","0.448"
"2","Cori Crocker","Michigan","Sr.","6-3","MB","98","184","37","334","0.440"
"3","Kaitlyn Hord","Penn St.","So.","6-4","MB","117","310","44","605","0.440"
"4","Chichi Ikwuazom","Columbia","Sr.","6-1","MB","93","495","99","904","0.438"
"5","Kodie Comby","Georgia Tech","Sr.","6-1","MB","117","250","58","439","0.437"
"6","Anota Adekunle","Rice","So.","5-11","MB","107","340","72","634","0.423"
"7","Megan Jacobsen","San Diego","Sr.","6-2","MB","112","292","58","570","0.411"
"8","Rachael Kramer","Florida","Sr.","6-8","MB","107","277","65","517","0.410"
"9","Chelsea Hudson","FIU","Sr.","6-2","MB","77","154","25","317","0.407"
"10","Tamia Reeves","San Diego St.","Sr.","6-1","MB","106","207","41","411","0.404"
"11","Lydia Wiers","Towson","Fr.","6-2","MB","105","270","61","518","0.403"
"12","Kirstie Hillyer","Colorado St.","Sr.","6-6","MB","110","315","71","605","0.403"
"13","Abby Akin","Northern Ariz.","Sr.","6-3","MB","121","314","61","628","0.403"
"14","Jasmin Sneed","VCU","Sr.","6-0","MB","112","199","37","403","0.402"
"15","Preslie Anderson","California","Jr.","6-2","MB","111","211","45","413","0.402"
"16","Dana Rettke","Wisconsin","Jr.","6-8","MB","110","413","83","827","0.399"
"17","Donna Brown","DePaul","So.","6-2","MH","121","250","59","479","0.399"
"18","Katie Myers","Maryland","So.","6-2","MB","121","273","49","567","0.395"
"19","Annabelle Kubinski","Grand Canyon","So.","6-0","MB","90","191","39","386","0.394"
"20","Leah Meyer","Kentucky","Sr.","6-3","MB","114","233","55","454","0.392"
"21","Sydney Bolding","Jacksonville","Fr.","6-5","MB","90","223","42","462","0.392"
"22","Sophia Davis","James Madison","Fr.","6-1","MH","93","257","60","504","0.391"
"23","Anna Blaschko","Omaha","Jr.","6-1","MB","129","360","84","707","0.390"
"24","Jada Stackhouse","Cornell","Sr.","5-11","MB","82","170","32","355","0.389"
"25","Maya Evans","Alabama A&M","Jr.","6-0","MH","113","245","50","503","0.388"
"26","Josie Ough","UC Davis","So.","6-6","MB","98","173","41","341","0.387"
"27","Skyler Williams","Hawaii","Jr.","6-1","MH","102","192","47","375","0.387"
"28","Clare Lenihan","Princeton","Jr.","6-2","MB","86","230","52","462","0.385"
"29","Tyanna Omazic","Missouri","Jr.","6-2","MB","107","283","80","528","0.384"
"30","Shelly Stafford","Baylor","Sr.","6-2","MB","104","268","63","535","0.383"
"31","Serena Gray","Penn St.","So.","6-2","MB","117","317","77","628","0.382"
"32","Megan Hart","New Mexico St.","Sr.","6-5","MB","106","300","75","589","0.382"
"33","Emma Granger","Robert Morris","Jr.","6-4","MB","107","389","85","797","0.381"
"34","Devyn Cross","Arizona","Sr.","6-0","MB","106","231","50","475","0.381"
"35","Anna Gragg","Liberty","Sr.","6-3","MB","112","282","64","577","0.378"
"36","Amaka Chukwujekwu","Boston College","Jr.","5-11","MB","125","262","71","506","0.377"
"37","Jasmine Gross","Southern California","Sr.","6-3","MB","128","260","46","571","0.375"
"38","Danae Daron","SFA","Sr.","6-0","MB","111","236","58","475","0.375"
"39","Lauren Stivrins","Nebraska","Jr.","6-4","MB","119","304","87","580","0.374"
"40","Ayala Plummer","Delaware","Fr.","5-10","MB","76","125","30","254","0.374"
"41","Wies Hurkmans","St. Francis Brooklyn","Sr.","6-1","MB","85","143","26","313","0.374"
"42","Kaleigh Oates","Quinnipiac","Sr.","6-0","MH","111","225","50","469","0.373"
"43","Jenna Bridges","Hartford","Sr.","6-2","MB","105","437","131","825","0.371"
"44","Jenna Phelps","Cornell","Sr.","6-1","MB","70","120","30","243","0.370"
"45","Kelley Hartman","South Alabama","Sr.","6-2","MB","116","356","88","724","0.370"
"46","Samantha Bray","Yale","So.","5-11","MB","78","200","54","395","0.370"
"47","Tia Jimerson","Ohio","Jr.","6-3","MB","86","276","75","544","0.369"
"48","Layne Van Buskirk","Pittsburgh","Sr.","6-3","MB","111","280","78","548","0.369"
"49","Kira Porter","Howard","Sr.","5-11","MB","115","222","52","462","0.368"
"50","Silvia Grassini","Towson","Sr.","5-10","MB","112","244","59","503","0.368"
"51","Grace Morgan","Rice","Sr.","6-2","MB","103","193","40","419","0.365"
"52","Maria Alfano","Robert Morris","Jr.","6-2","MB","95","262","48","587","0.365"
"53","Jaelyn Jackson","VCU","Sr.","6-3","MB","111","215","60","426","0.364"
"54","Sydney Armbrister","Delaware St.","Jr.","5-10","OH","99","154","33","334","0.362"
"55","Taryn Knuth","Florida St.","Jr.","6-3","MB","105","202","40","448","0.362"
"56","Riley Coonan","Wofford","Jr.","6-1","MB","104","259","65","539","0.360"
"57","Yizhi Xue","Long Beach St.","Sr.","6-4","MB","110","270","57","592","0.360"
"58","Faith Landreneaux","Bethune-Cookman","Jr.","5-10","MB","82","140","31","303","0.360"
"59","Regan Pittman","Minnesota","Jr.","6-5","MB","118","257","62","543","0.359"
"60","Jackie McBride","Wyoming","Jr.","6-1","MB","119","310","77","649","0.359"
"61","Magda Jehlarova","Washington St.","Fr.","6-3","MB","123","268","68","561","0.357"
"62","Janell Walley","Boise St.","Sr.","5-11","OH","102","266","60","578","0.356"
"63","E?laisah Young","Alabama St.","Jr.","6-0","MB","140","293","82","594","0.355"
"64","Julianna Salanoa","New Mexico St.","Jr.","6-0","MB","108","201","52","420","0.355"
"65","Nayo Warnell","Ole Miss","Sr.","6-1","MB","117","207","43","464","0.353"
"66","Kaela Massey","ETSU","Sr.","6-1","MB","119","349","72","784","0.353"
"67","Kennedy Eschenberg","BYU","Jr.","6-4","MB","112","195","45","425","0.353"
"68","Tina Boe","Denver","Jr.","6-0","MB","117","208","48","454","0.352"
"69","Gabby Murray","Marist","Fr.","6-2","MB","96","163","45","335","0.352"
"70","Kara Teal","UTSA","Sr.","6-0","MH","83","145","37","307","0.352"
"71","Maggie O'Connell","Princeton","Sr.","6-4","MB","89","250","76","495","0.352"
"72","Adria Oliver","Cincinnati","So.","6-1","MB","125","271","85","530","0.351"
"73","Anett Nemeth","Coastal Caro.","So.","6-1","OPP","105","515","147","1049","0.351"
"74","Ashlyn Fleming","Illinois","Sr.","6-4","MB","118","290","86","583","0.350"
"75","Quin Sutphin","Kennesaw St.","Jr.","6-2","MB","102","342","104","681","0.349"
"76","Dahlias Bouyer","Ohio","So.","5-11","MB","97","171","40","375","0.349"
"77","Sarah Ciszek","Sacred Heart","So.","5-10","S","120","212","49","467","0.349"
"78","Amber Igiede","Hawaii","Fr.","6-3","MB","103","214","57","450","0.349"
"79","Madeline Wynn","Davidson","Fr.","6-2","MB","99","202","59","410","0.349"
"80","Margaret Payne","Miami (OH)","Sr.","6-0","MH","108","302","79","640","0.348"
"81","Natalie Shollin","Northeastern","Sr.","6-1","MB","108","265","74","549","0.348"
"82","Allison Olsonoski","Villanova","Sr.","6-1","MB","109","234","36","570","0.347"
"83","Tarah Wylie","Pepperdine","Sr.","6-5","MB","114","285","79","594","0.347"
"84","Kendall Bender","UNCW","Sr.","6-1","MB","116","252","64","547","0.344"
"85","Kyra Palmbush","Idaho","Fr.","6-2","MB","124","239","47","559","0.343"
"86","Sydney Boerst","Purdue Fort Wayne","Jr.","6-0","MH","127","238","61","516","0.343"
"87","Taylor Morgan","Minnesota","Sr.","6-0","MB","111","215","57","462","0.342"
"88","Caitlyn Della","Wake Forest","Sr.","6-3","MB","93","254","75","526","0.340"
"89","Madison Hill","UT Arlington","Sr.","6-1","MB","113","303","90","626","0.340"
"90","Rachel Young","A&M-Corpus Christi","So.","6-1","MB","105","217","51","488","0.340"
"91","Jordan Thompson","Cincinnati","Sr.","6-4","OH","125","798","208","1735","0.340"
"92","Kaira Moss","Grand Canyon","So.","6-1","MB","105","248","62","547","0.340"
"93","Hannah Keating","Morehead St.","So.","6-0","MB","116","220","66","454","0.339"
"94","Madeleine Gates","Stanford","Sr.","6-3","MB","120","267","53","631","0.339"
"95","Maggie Adams","Southeast Mo. St.","Jr.","6-2","MB","117","182","37","428","0.339"
"96","Tyrecia Lukes","UMKC","Sr.","6-1","MH","111","260","80","532","0.338"
"97","Mikayla Robinson","South Carolina","Jr.","6-2","MB","113","277","86","566","0.337"
"98","Taylor Venuto","Loyola Chicago","Fr.","6-1","MH","124","310","75","697","0.337"
"99","Skylar Fields","Texas","Fr.","-","OPP","98","246","52","576","0.337"
"100","Kara Spicer","Appalachian St.","Jr.","6-2","MB","113","342","102","713","0.337"
"101","Onuchi Ndee","American","Fr.","6-0","MH","108","200","53","437","0.336"
"102","Lisbeth  Rosario-Martinez","Central Mich.","Jr.","-","MB","113","262","78","547","0.336"
"103","Lauren Forte","California","So.","6-3","MB","99","209","72","408","0.336"
"104","Sabrina Starks","Pittsburgh","So.","6-2","MB","95","150","33","349","0.335"
"105","Lauren Mershon","Saint Louis","Sr.","6-3","MB","112","185","51","400","0.335"
"106","Marieke van der Mark","Baylor","So.","6-6","OPP","104","193","54","415","0.335"
"107","Lexi Nordmann","Buffalo","Jr.","6-1","MB","112","185","39","436","0.335"
"108","Callie Cook","Tulsa","Jr.","6-2","MB","132","304","78","675","0.335"
"109","Luci Albertson","Fairfield","Jr.","6-0","MB","103","189","56","398","0.334"
"110","Tyeranee Scott","Texas St.","Jr.","6-0","MB","104","199","62","410","0.334"
"111","Zoe Birnbrich","Toledo","Sr.","6-1","MH","108","282","68","641","0.334"
"112","Emily Russell","USC Upstate","Jr.","6-0","MB","99","306","91","646","0.333"
"113","Kaley  Rammelsberg","High Point","Fr.","6-1","MB","122","239","67","517","0.333"
"114","Blake Mohler","Purdue","Sr.","6-2","MB","115","248","85","490","0.333"
"115","Addisyn Rowe","Tennessee","So.","6-3","MB","79","130","37","280","0.332"
"116","Paulina Hougaard-Jensen","Colorado St.","Sr.","6-1","MB","96","231","71","482","0.332"
"117","Morgan BOSSLER","Winthrop","Jr.","6-3","-","109","290","58","699","0.332"
"118","Julia Loveday","UNC Asheville","Sr.","5-11","MB","64","96","24","217","0.332"
"119","Taylor Odom","Santa Clara","Sr.","6-2","MB","120","249","77","519","0.331"
"120","Kathryn Plummer","Stanford","Sr.","6-6","OH","85","444","135","935","0.330"
"121","Kate Brennan","UNLV","So.","6-2","MB","128","193","48","439","0.330"
"122","Jodi Edo","Southeastern La.","Sr.","5-9","MB","115","338","114","679","0.330"
"123","Alysha  Johnson","North Texas","Fr.","6-2","MB","104","163","43","364","0.330"
"124","Hannah Flowers","Memphis","Jr.","6-2","RS","109","383","114","816","0.330"
"125","Nyssa Baker","Wright St.","Jr.","6-0","MH","82","174","30","437","0.330"
"126","Milla Ciprian","Virginia","So.","6-2","MB","106","186","48","419","0.329"
"127","M'Kaela White","James Madison","Sr.","6-3","MB","93","230","56","529","0.329"
"128","Katie Montgomery","Southern Utah","So.","6-2","MH","101","208","63","441","0.329"
"129","Brianna Schmid","Stetson","Sr.","6-1","MB","103","180","36","439","0.328"
"130","Ashley Richardson","Akron","Sr.","6-1","MB","103","284","63","674","0.328"
"131","Taylor Meeks","Idaho St.","Jr.","6-3","MB","89","191","54","419","0.327"
"132","Cailea Gibbs","Fla. Atlantic","Sr.","6-0","MB","85","170","56","349","0.327"
"133","Lauryn Green","Tulane","Fr.","6-1","MH","116","235","65","521","0.326"
"134","Julia Brown","William & Mary","Jr.","6-2","MB","97","212","64","454","0.326"
"135","Liz Wayne","Duquesne","Sr.","6-0","MH","91","242","82","491","0.326"
"136","Neci Harris","Furman","So.","5-11","MB","109","287","77","645","0.326"
"137","Aniya Williams","Tennessee St.","Jr.","5-11","MB","92","214","63","464","0.325"
"138","Makayla DOYLE","Winthrop","Sr.","-","-","98","216","50","511","0.325"
"139","Danielle Hart","Wisconsin","So.","6-4","MB","116","206","53","471","0.325"
"140","Jasmine Kemp","Northern Ill.","So.","6-0","MB","89","161","38","379","0.325"
"141","Nicole Ball","Idaho","So.","6-3","MB","124","249","67","561","0.324"
"142","Sydney LEWIS","Delaware St.","---","-","-","80","140","46","291","0.323"
"143","Jessica Donahue","Boise St.","So.","6-3","MB","109","209","56","474","0.323"
"144","Peyton Eisnaugle","Col. of Charleston","Sr.","6-1","MB","99","190","55","419","0.322"
"145","Isabelle Roufs","Central Conn. St.","Fr.","6-2","OPP","104","196","53","445","0.321"
"146","Taris Pittman","St. Francis Brooklyn","Sr.","6-0","MB","113","196","48","461","0.321"
"147","Emily Halverson","North Dakota St.","Jr.","6-3","MH","112","209","55","480","0.321"
"148","Danie Tyson","Kent St.","So.","6-0","MB","112","236","66","530","0.321"
"149","Mallory Yost","UTEP","Jr.","6-1","MB","106","198","58","438","0.320"
"150","Amarrah Cooks","Mississippi St.","Sr.","5-10","MB","109","232","58","547","0.318"

NCAA Women's Volleyball
Division IKills Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Per Set"
"1","Jordan Thompson","Cincinnati","Sr.","6-4","OH","125","798","6.38"
"2","Yossiana Pressley","Baylor","Jr.","6-0","OH","101","546","5.41"
"3","Rachel Giustino","Murray St.","Sr.","5-10","OH","114","610","5.35"
"4","Chichi Ikwuazom","Columbia","Sr.","6-1","MB","93","495","5.32"
"5","Kathryn Plummer","Stanford","Sr.","6-6","OH","85","444","5.22"
"6","Polina Shemanova","Syracuse","So.","6-0","OH","94","485","5.16"
"7","Khalia Lanier","Southern California","Sr.","6-2","OH","115","566","4.92"
"8","Anett Nemeth","Coastal Caro.","So.","6-1","OPP","105","515","4.90"
"9","Mac May","UCLA","Jr.","6-3","OH","102","493","4.83"
"","Zoe McBride","Morgan St.","So.","6-0","OH","114","551","4.83"
"11","Nicole Lennon","Rice","Jr.","6-2","OH","105","504","4.80"
"12","Hannah Brister","Northwestern St.","Jr.","6-0","OH","113","539","4.77"
"13","Olivia Lohmeier","Morehead St.","Jr.","6-0","OH","119","564","4.74"
"14","Kylie Kuyava-Deberg","Missouri","Jr.","6-4","OH","111","524","4.72"
"15","Dani Drews","Utah","Jr.","6-0","OH","137","643","4.69"
"16","Allie Barber","Marquette","Sr.","6-5","OH","122","570","4.67"
"17","Morgan Romano","Rider","Fr.","5-10","RS","115","534","4.64"
"18","Kara Bajema","Washington","Sr.","6-2","OH","129","597","4.63"
"19","Maria Bellinger","Delaware","Sr.","6-1","OH","104","477","4.59"
"20","Jamie Peterson","Dayton","So.","6-4","OH","114","522","4.58"
"21","Karlie Taylor","UNI","Sr.","5-11","OH","124","565","4.56"
"22","Taylor Wolf","Green Bay","Jr.","6-2","S","114","518","4.54"
"23","McKenna Melville","UCF","So.","6-1","OH","122","548","4.49"
"24","Hollann Hans","Texas A&M","Sr.","6-1","OH","119","534","4.49"
"25","Lindsey Ruddins","UC Santa Barbara","Sr.","6-2","OH","99","439","4.43"
"26","Leah Edmond","Kentucky","Sr.","6-2","OH","111","491","4.42"
"27","Taylor Bannister","LSU","Jr.","6-5","MB","102","438","4.29"
"28","Valerie Valerian","North Texas","Jr.","6-1","OH","109","465","4.27"
"29","Maia Dvoracek","Cal Poly","Jr.","6-1","OH","110","468","4.25"
"30","Efrosini Alexakou","St. John's (NY)","So.","6-1","OH","116","491","4.23"
"","Emily Hill","Texas Tech","Sr.","6-1","OH","116","491","4.23"
"32","Jacqueline Quade","Illinois","Sr.","6-2","OH","118","499","4.23"
"33","Elizabeth Juhnke","South Dakota","Fr.","6-0","OH","123","520","4.23"
"34","Melanie Feliciano","Evansville","Fr.","5-11","OH","109","456","4.18"
"35","Ciara DeBell","Marshall","Jr.","6-2","OH","101","422","4.18"
