 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","S","W-L","Aces","Per Set"
"90","Grand Canyon","107","11-17","1706","15.94"
"91","George Washington","102","11-15","1625","15.93"
"92","Cornell","93","14-10","1480","15.91"
"93","Ball St.","120","22-10","1909","15.91"
"94","Navy","118","23-9","1877","15.91"
"95","UMBC","106","7-19","1686","15.91"
"96","Wichita St.","127","14-18","2019","15.90"
"97","Louisiana","112","15-15","1776","15.86"
"","UTSA","105","19-8","1665","15.86"
"99","ETSU","125","28-7","1978","15.82"
"100","Towson","123","17-15","1945","15.81"
"101","Southeast Mo. St.","112","16-14","1771","15.81"
"102","Nebraska","133","29-7","2100","15.79"
"103","Marshall","108","10-19","1705","15.79"
"104","Oregon St.","121","11-21","1909","15.78"
"105","Michigan","122","24-10","1923","15.76"
"106","Little Rock","125","19-13","1970","15.76"
"107","Radford","106","22-7","1669","15.75"
"108","Morehead St.","113","21-10","1779","15.74"
"109","Tennessee St.","113","9-19","1778","15.73"
"110","East Carolina","104","13-16","1635","15.72"
"111","Coastal Caro.","93","12-13","1461","15.71"
"112","UT Martin","123","14-17","1931","15.70"
"113","Idaho","123","23-10","1928","15.67"
"114","Elon","105","13-15","1645","15.67"
"115","Marquette","115","28-7","1801","15.66"
"116","Northeastern","109","16-14","1698","15.58"
"117","Appalachian St.","112","22-9","1743","15.56"
"118","UC Irvine","105","16-13","1634","15.56"
"119","Montana St.","113","11-19","1758","15.56"
"120","TCU","102","15-12","1586","15.55"
"121","Brown","99","11-13","1539","15.55"
"122","Eastern Wash.","105","8-22","1632","15.54"
"123","Sacramento St.","120","16-16","1864","15.53"
"124","Southern California","125","22-11","1938","15.50"
"125","Baylor","118","20-9","1828","15.49"
"126","Washington St.","130","23-10","2013","15.48"
"127","Colgate","103","14-15","1594","15.48"
"128","Nevada","113","8-21","1748","15.47"
"129","Northwestern St.","101","12-15","1561","15.46"
"130","Montana","114","10-21","1761","15.45"
"131","Fordham","108","10-17","1668","15.44"
"132","Louisiana Tech","106","6-23","1637","15.44"
"133","Weber St.","105","18-10","1620","15.43"
"134","Wofford","111","14-16","1708","15.39"
"135","Central Mich.","106","7-21","1631","15.39"
"136","Fresno St.","130","22-11","1999","15.38"
"137","Holy Cross","107","8-21","1643","15.36"
"138","Northern Ill.","122","11-21","1873","15.35"
"139","Arizona","125","22-11","1919","15.35"
"140","Iowa","121","15-16","1857","15.35"
"141","NC State","110","15-13","1688","15.35"
"142","LSU","113","12-17","1734","15.35"
"143","Hofstra","127","25-8","1948","15.34"
"144","Davidson","87","12-13","1334","15.33"
"","Chattanooga","108","10-20","1656","15.33"
"146","UConn","119","15-16","1824","15.33"
"147","Oklahoma","108","17-11","1655","15.32"
"148","Abilene Christian","118","13-16","1808","15.32"
"149","Texas St.","124","27-7","1899","15.31"
"150","Army West Point","119","14-15","1819","15.29"
"151","Wisconsin","117","25-7","1783","15.24"
"152","California","117","15-16","1780","15.21"
"153","USC Upstate","124","13-19","1881","15.17"
"154","Tennessee","125","26-6","1896","15.17"
"155","Bucknell","99","8-19","1501","15.16"
"156","Utah Valley","141","20-14","2136","15.15"
"157","Loyola Chicago","108","16-14","1636","15.15"
"158","Tennessee Tech","118","11-19","1785","15.13"
"159","George Mason","91","10-14","1375","15.11"
"160","Idaho St.","125","19-14","1888","15.10"
"161","Central Conn. St.","95","13-13","1434","15.09"
"162","DePaul","98","5-24","1478","15.08"
"163","St. John's (NY)","138","23-12","2078","15.06"
"164","A&M-Corpus Christi","111","9-21","1671","15.05"
"165","Georgia St.","95","7-19","1430","15.05"
"166","N.C. Central","91","6-19","1369","15.04"
"167","Incarnate Word","101","10-17","1519","15.04"
"168","Seton Hall","105","10-20","1579","15.04"
"169","Ole Miss","124","14-18","1863","15.02"
"170","Florida A&M","103","11-17","1546","15.01"
"171","Robert Morris","116","11-18","1740","15.00"
"","Cal St. Fullerton","100","6-24","1500","15.00"
"173","Southern Utah","112","6-24","1678","14.98"
"174","Santa Clara","108","6-24","1615","14.95"
"175","Kansas St.","98","15-12","1464","14.94"
"176","Buffalo","113","18-11","1688","14.94"
"177","American","121","20-13","1807","14.93"
"178","High Point","104","21-10","1553","14.93"
"179","Saint Louis","98","8-20","1462","14.92"
"180","Florida St.","109","19-10","1626","14.92"
"181","New Mexico St.","124","24-8","1849","14.91"
"182","Seattle U","112","11-19","1670","14.91"
"183","CSU Bakersfield","122","14-16","1819","14.91"
"184","Ohio","117","13-18","1743","14.90"
"185","Xavier","105","10-19","1563","14.89"
"186","Lehigh","107","19-8","1587","14.83"
"187","UMKC","123","21-11","1823","14.82"
"188","Air Force","128","17-15","1895","14.80"
"189","Columbia","87","10-14","1288","14.80"
"190","UNC Asheville","100","16-12","1480","14.80"
"","Harvard","90","11-12","1332","14.80"
"192","Cal Poly","96","25-3","1420","14.79"
"193","Portland St.","107","5-25","1582","14.79"
"194","Campbell","95","9-17","1403","14.77"
"195","Dartmouth","86","10-15","1270","14.77"
"196","Mercer","107","16-13","1579","14.76"
"197","Kentucky","109","26-5","1608","14.75"
"198","Fla. Atlantic","99","21-7","1460","14.75"
"199","Saint Peter's","129","9-25","1902","14.74"
"200","Penn St.","118","26-8","1739","14.74"
"201","Utah","128","19-14","1882","14.70"
"202","Howard","108","20-11","1582","14.65"
"203","Niagara","105","9-19","1537","14.64"
"204","UNCW","104","15-12","1521","14.63"
"205","Memphis","114","11-19","1665","14.61"
"206","Indiana","120","16-15","1752","14.60"
"207","Maryland","114","18-14","1664","14.60"
"208","Marist","115","14-15","1678","14.59"
"209","Boston College","112","15-15","1634","14.59"
"210","Central Ark.","121","26-7","1764","14.58"
"211","UTEP","99","5-21","1442","14.57"
"212","Fairleigh Dickinson","103","2-28","1499","14.55"
"213","Georgia Tech","125","18-15","1819","14.55"
"214","Arkansas","103","11-17","1497","14.53"
"215","Purdue","130","24-9","1887","14.52"
"216","Mississippi Val.","109","5-26","1581","14.50"
"217","San Jose St.","103","16-11","1491","14.48"
"218","Sacred Heart","99","17-10","1431","14.45"
"219","St. Francis Brooklyn","104","10-18","1503","14.45"
"220","Long Beach St.","114","16-13","1647","14.45"
"221","Evansville","121","10-21","1748","14.45"
"222","Georgetown","111","17-13","1602","14.43"
"223","Texas Tech","110","17-13","1586","14.42"
"224","Texas A&M","123","17-13","1771","14.40"
"225","Arkansas St.","126","19-14","1814","14.40"
"226","FIU","117","19-12","1684","14.39"
"227","Lipscomb","108","18-12","1550","14.35"
"228","Eastern Ky.","104","5-23","1492","14.35"
"229","North Texas","131","19-17","1877","14.33"
"230","Troy","116","11-19","1662","14.33"
"231","Pepperdine","111","22-9","1588","14.31"
"232","Binghamton","92","5-20","1316","14.30"
"233","Colorado","125","18-14","1788","14.30"
"234","Portland","124","20-13","1773","14.30"
"235","La.-Monroe","104","11-19","1485","14.28"
"236","Rhode Island","96","9-17","1370","14.27"
"237","Illinois","132","32-4","1883","14.27"
"238","Cincinnati","133","26-8","1886","14.18"
"239","Gonzaga","109","11-18","1545","14.17"
"240","Georgia","115","15-14","1630","14.17"
"241","Butler","105","9-21","1486","14.15"
"242","New Orleans","121","12-19","1712","14.15"
"243","Saint Mary's (CA)","114","19-10","1611","14.13"
"244","NJIT","115","4-28","1625","14.13"
"245","Louisville","116","22-9","1638","14.12"
"246","Pacific","113","13-16","1595","14.12"
"247","Omaha","112","17-12","1576","14.07"
"248","McNeese","114","10-22","1604","14.07"
"249","Akron","103","11-16","1449","14.07"
"250","UNLV","130","22-12","1827","14.05"
"251","Morgan St.","102","13-15","1433","14.05"
"252","Providence","105","8-21","1474","14.04"
"253","South Dakota St.","104","6-23","1454","13.98"
"254","UAB","100","13-15","1398","13.98"
"255","Wyoming","119","20-11","1663","13.97"
"256","Denver","110","27-3","1537","13.97"
"257","Southern U.","111","13-17","1549","13.95"
"258","Dayton","118","23-8","1646","13.95"
"259","Mississippi St.","110","5-26","1534","13.95"
"260","Boise St.","112","18-11","1561","13.94"
"261","Southern Miss.","127","17-15","1770","13.94"
"262","North Florida","122","11-22","1699","13.93"
"263","Washington","123","20-13","1712","13.92"
"264","Duke","108","16-12","1498","13.87"
"265","San Francisco","109","9-20","1510","13.85"
"266","Kennesaw St.","120","24-7","1661","13.84"
"267","Alabama A&M","129","22-16","1777","13.78"
"268","San Diego","112","18-13","1541","13.76"
"269","Ark.-Pine Bluff","99","8-21","1359","13.73"
"270","Belmont","103","5-23","1410","13.69"
"271","Jacksonville St.","124","18-14","1697","13.69"
"272","Quinnipiac","112","9-21","1532","13.68"
"273","Syracuse","108","19-9","1477","13.68"
"274","Prairie View","111","7-25","1518","13.68"
"275","Western Ky.","117","20-10","1597","13.65"
"276","Nicholls St.","100","3-26","1364","13.64"
"277","Kansas","109","15-12","1483","13.61"
"278","Presbyterian","112","10-17","1523","13.60"
"279","West Virginia","112","11-19","1520","13.57"
"280","Missouri","119","24-8","1613","13.55"
"281","Grambling","128","11-24","1730","13.52"
"282","Stanford","121","34-1","1635","13.51"
"283","Virginia Tech","108","14-16","1454","13.46"
"284","Middle Tenn.","101","7-21","1359","13.46"
"285","UMass Lowell","95","5-21","1278","13.45"
"286","Liberty","116","15-17","1559","13.44"
"287","CSUN","108","8-20","1451","13.44"
"288","Western Ill.","109","3-26","1462","13.41"
"289","Ga. Southern","119","9-22","1596","13.41"
"290","Northwestern","113","16-16","1514","13.40"
"291","The Citadel","113","12-19","1513","13.39"
"292","Gardner-Webb","111","7-22","1485","13.38"
"293","Virginia","107","8-20","1431","13.37"
"294","VCU","105","19-9","1401","13.34"
"295","Ohio St.","122","12-20","1621","13.29"
"296","William & Mary","89","5-20","1180","13.26"
"297","Pittsburgh","114","30-2","1511","13.25"
"298","Texas","101","23-5","1333","13.20"
"299","BYU","107","31-2","1406","13.14"
"300","Penn","89","6-19","1166","13.10"
"301","Hartford","86","11-14","1126","13.09"
"302","Florida","123","26-7","1609","13.08"
"303","LMU (CA)","112","21-10","1460","13.04"
"304","N.C. A&T","93","14-12","1208","12.99"
"305","South Carolina","112","20-10","1453","12.97"
"306","Auburn","105","12-16","1362","12.97"
"307","South Alabama","115","13-17","1490","12.96"
"308","Utah St.","112","5-24","1446","12.91"
"309","Lafayette","99","5-23","1275","12.88"
"310","San Diego St.","125","10-21","1609","12.87"
"311","New Mexico","122","15-15","1564","12.82"
"312","Siena","114","4-28","1461","12.82"
"313","Jackson St.","130","10-24","1657","12.75"
"314","Southeastern La.","101","2-27","1283","12.70"
"315","Colorado St.","112","23-8","1422","12.70"
"316","Texas Southern","121","11-22","1531","12.65"
"317","Alabama St.","142","23-18","1791","12.61"
"318","Hampton","103","8-19","1295","12.57"
"319","North Carolina","96","8-19","1206","12.56"
"320","Clemson","129","19-15","1593","12.35"
"321","Manhattan","112","5-27","1372","12.25"
"322","Miami (FL)","94","13-12","1151","12.24"
"323","Alcorn","110","10-20","1332","12.11"
"324","Rutgers","114","6-27","1370","12.02"
"325","Coppin St.","117","12-20","1401","11.97"
"326","Jacksonville","106","5-24","1263","11.92"
"327","Michigan St.","121","17-16","1435","11.86"
"328","Wake Forest","115","10-20","1318","11.46"
"329","Delaware St.","99","2-27","1125","11.36"
"330","Lamar University","99","7-20","1120","11.31"
"331","UMES","92","10-16","1032","11.22"
"332","Norfolk St.","70","4-17","751","10.73"
"333","Savannah St.","81","3-21","849","10.48"
"334","South Carolina St.","82","1-25","853","10.40"
Reclassifying
"NR","California Baptist","128","21-11","2074","16.20"
"NR","North Ala.","90","4-21","1343","14.92"

NCAA Women's Volleyball
Division IHitting Percentage
Through Games 12/15/2018


"Rank","Name","S","W-L","Kills","Errors","Total Attacks","Pct."
"1","Texas","101","23-5","1404","393","3261","0.310"
"2","Stanford","121","34-1","1791","530","4110","0.307"
"3","BYU","107","31-2","1521","468","3469","0.304"
"4","Kentucky","109","26-5","1574","440","3770","0.301"
"5","Minnesota","107","27-4","1594","422","3927","0.298"
"6","Pittsburgh","114","30-2","1653","579","3688","0.291"
"7","Cal Poly","96","25-3","1321","387","3224","0.290"
"8","Wisconsin","117","25-7","1656","486","4096","0.286"
"9","Fla. Atlantic","99","21-7","1517","525","3518","0.282"
"10","Marquette","115","28-7","1691","536","4102","0.282"
"11","Illinois","132","32-4","1870","609","4480","0.281"
"12","Cincinnati","133","26-8","1860","629","4496","0.274"
"13","Dayton","118","23-8","1642","540","4049","0.272"
"14","Florida St.","109","19-10","1485","483","3718","0.269"
"15","Denver","110","27-3","1552","541","3753","0.269"
"16","Oregon","126","23-11","1851","599","4712","0.266"
"17","Nebraska","133","29-7","1772","582","4491","0.265"
"18","Penn St.","118","26-8","1641","547","4137","0.264"
"19","LMU (CA)","112","21-10","1612","620","3753","0.264"
"20","Creighton","118","29-5","1689","565","4264","0.264"
"21","Missouri","119","24-8","1606","565","3954","0.263"
"22","Texas St.","124","27-7","1748","626","4269","0.263"
"23","Colorado St.","112","23-8","1518","575","3597","0.262"
"24","Rice","118","24-7","1727","574","4462","0.258"
"25","FGCU","120","27-7","1623","528","4239","0.258"
"26","Idaho","123","23-10","1652","516","4408","0.258"
"27","Princeton","87","19-6","1227","417","3161","0.256"
"28","Florida","123","26-7","1560","560","3916","0.255"
"29","Hofstra","127","25-8","1769","628","4469","0.255"
"30","Iowa St.","123","21-13","1741","587","4562","0.253"
"31","Canisius","104","17-12","1410","482","3682","0.252"
"32","Syracuse","108","19-9","1390","493","3561","0.252"
"33","American","121","20-13","1533","517","4054","0.251"
"34","Illinois St.","115","25-8","1645","550","4373","0.250"
"35","Pepperdine","111","22-9","1496","531","3856","0.250"
"36","Kennesaw St.","120","24-7","1650","636","4059","0.250"
"37","Northern Ariz.","132","26-9","1737","501","4959","0.249"
"38","Col. of Charleston","135","24-12","1913","685","4930","0.249"
"39","Tennessee","125","26-6","1783","660","4514","0.249"
"40","Purdue","130","24-9","1727","615","4481","0.248"
"41","Louisville","116","22-9","1629","635","4007","0.248"
"42","ETSU","125","28-7","1712","597","4529","0.246"
"43","Central Ark.","121","26-7","1621","620","4098","0.244"
"44","UNI","126","24-10","1890","711","4829","0.244"
"45","Southern California","125","22-11","1743","611","4637","0.244"
"46","Wyoming","119","20-11","1514","540","4001","0.243"
"47","UCF","117","27-4","1623","549","4427","0.243"
"48","Utah","128","19-14","1758","666","4528","0.241"
"49","Little Rock","125","19-13","1647","578","4433","0.241"
"50","Portland","124","20-13","1602","589","4201","0.241"
"51","Duke","108","16-12","1453","536","3807","0.241"
"52","Kansas St.","98","15-12","1305","454","3548","0.240"
"53","Colorado","125","18-14","1666","638","4296","0.239"
"54","SFA","120","32-3","1580","539","4353","0.239"
"55","Stony Brook","106","21-9","1403","483","3867","0.238"
"56","Lipscomb","108","18-12","1498","595","3810","0.237"
"57","Arizona","125","22-11","1733","665","4508","0.237"
"58","South Carolina","112","20-10","1411","541","3676","0.237"
"59","Hartford","86","11-14","1064","399","2810","0.237"
"60","Miami (FL)","94","13-12","1203","459","3153","0.236"
"61","Austin Peay","121","27-5","1671","613","4486","0.236"
"62","Southern Miss.","127","17-15","1720","703","4314","0.236"
"63","Western Ky.","117","20-10","1487","596","3782","0.236"
"64","Ball St.","120","22-10","1576","564","4307","0.235"
"65","Washington St.","130","23-10","1716","627","4635","0.235"
"66","UNLV","130","22-12","1655","629","4369","0.235"
"67","Baylor","118","20-9","1642","648","4234","0.235"
"68","Long Beach St.","114","16-13","1473","559","3897","0.235"
"69","Tulane","143","29-9","1952","747","5155","0.234"
"70","Saint Mary's (CA)","114","19-10","1445","522","3954","0.233"
"71","Eastern Mich.","128","21-14","1795","661","4864","0.233"
"72","Liberty","116","15-17","1514","609","3882","0.233"
"73","Clemson","129","19-15","1717","731","4247","0.232"
"74","California","117","15-16","1538","576","4150","0.232"
"75","Idaho St.","125","19-14","1644","628","4393","0.231"
"76","North Texas","131","19-17","1702","646","4568","0.231"
"77","James Madison","112","22-7","1495","532","4169","0.231"
"78","Fresno St.","130","22-11","1686","661","4451","0.230"
"79","Washington","123","20-13","1653","656","4330","0.230"
"80","High Point","104","21-10","1401","570","3613","0.230"
"81","Georgia Tech","125","18-15","1619","634","4285","0.230"
"82","Buffalo","113","18-11","1509","606","3947","0.229"
"83","Texas A&M","123","17-13","1654","673","4298","0.228"
"84","San Diego","112","18-13","1532","645","3888","0.228"
"85","UMKC","123","21-11","1646","650","4372","0.228"
"86","Michigan","122","24-10","1646","648","4390","0.227"
"87","Alabama A&M","129","22-16","1521","608","4020","0.227"
"88","Towson","123","17-15","1644","648","4413","0.226"
"89","UC Santa Barbara","112","17-12","1520","566","4227","0.226"
"90","South Fla.","129","20-12","1636","600","4596","0.225"
"91","Texas Tech","110","17-13","1433","564","3856","0.225"
"92","Charlotte","124","16-15","1523","535","4392","0.225"
"93","Iowa","121","15-16","1547","601","4211","0.225"
"94","New Mexico St.","124","24-8","1609","641","4310","0.225"
"95","Loyola Chicago","108","16-14","1380","527","3808","0.224"
"96","Auburn","105","12-16","1324","529","3563","0.223"
"97","Ole Miss","124","14-18","1609","639","4348","0.223"
"98","UTRGV","115","22-9","1500","553","4259","0.222"
"99","UTSA","105","19-8","1462","583","3955","0.222"
"100","La Salle","107","18-12","1452","549","4064","0.222"
"101","Weber St.","105","18-10","1342","520","3707","0.222"
"102","Omaha","112","17-12","1480","600","3976","0.221"
"103","Western Mich.","116","16-14","1488","582","4133","0.219"
"104","Alabama","116","20-12","1504","588","4192","0.219"
"105","Iona","102","20-8","1436","597","3840","0.218"
"106","Seton Hall","105","10-20","1318","523","3657","0.217"
"","Morehead St.","113","21-10","1497","622","4025","0.217"
"108","Georgia","115","15-14","1515","640","4029","0.217"
"109","Appalachian St.","112","22-9","1547","638","4187","0.217"
"110","TCU","102","15-12","1360","567","3653","0.217"
"111","UC Irvine","105","16-13","1346","533","3747","0.217"
"112","Oklahoma","108","17-11","1414","566","3913","0.217"
"113","Mercer","107","16-13","1371","580","3656","0.216"
"114","South Dakota","111","21-10","1498","557","4353","0.216"
"115","Villanova","115","17-14","1480","521","4441","0.216"
"116","Radford","106","22-7","1406","593","3769","0.216"
"117","LSU","113","12-17","1460","588","4044","0.216"
"118","South Alabama","115","13-17","1417","621","3696","0.215"
"119","Yale","81","19-5","1107","452","3046","0.215"
"120","St. John's (NY)","138","23-12","1794","748","4884","0.214"
"121","Louisiana","112","15-15","1394","533","4036","0.213"
"122","Kansas","109","15-12","1367","606","3568","0.213"
"123","VCU","105","19-9","1253","510","3484","0.213"
"124","Indiana","120","16-15","1544","629","4300","0.213"
"125","Purdue Fort Wayne","120","18-14","1638","671","4548","0.213"
"126","Morgan St.","102","13-15","1237","512","3429","0.211"
"127","Hawaii","102","18-9","1373","571","3799","0.211"
"128","Arkansas","103","11-17","1344","554","3768","0.210"
"129","Colgate","103","14-15","1287","519","3667","0.209"
"130","Pacific","113","13-16","1531","703","3956","0.209"
"131","Michigan St.","121","17-16","1493","677","3905","0.209"
"132","Jacksonville St.","124","18-14","1627","738","4263","0.209"
"133","Boston College","112","15-15","1452","621","3986","0.208"
"134","Valparaiso","146","27-11","1938","751","5697","0.208"
"135","Boise St.","112","18-11","1405","597","3886","0.208"
"136","UC Davis","107","16-12","1408","583","3969","0.208"
"137","Wichita St.","127","14-18","1666","684","4727","0.208"
"138","Stetson","107","16-13","1241","466","3734","0.208"
"139","Samford","136","19-15","1801","745","5088","0.208"
"140","UMES","92","10-16","968","414","2673","0.207"
"141","Arkansas St.","126","19-14","1625","704","4448","0.207"
"142","San Diego St.","125","10-21","1581","737","4084","0.207"
"143","Maryland","114","18-14","1414","591","3987","0.206"
"144","Davidson","87","12-13","1015","394","3011","0.206"
"145","Murray St.","116","22-10","1542","646","4354","0.206"
"146","Georgetown","111","17-13","1432","622","3954","0.205"
"147","Bradley","127","24-9","1745","680","5220","0.204"
"148","Utah Valley","141","20-14","1781","742","5093","0.204"
"149","UNCW","104","15-12","1220","471","3672","0.204"
"150","Notre Dame","106","16-12","1341","522","4017","0.204"
"151","Lehigh","107","19-8","1302","532","3781","0.204"
"152","Virginia Tech","108","14-16","1368","630","3626","0.204"
"153","Air Force","128","17-15","1627","721","4455","0.203"
"154","Brown","99","11-13","1220","487","3607","0.203"
"155","Green Bay","113","20-11","1544","638","4465","0.203"
"156","Missouri St.","118","17-15","1576","674","4446","0.203"
"157","Howard","108","20-11","1394","625","3797","0.203"
"158","UAB","100","13-15","1271","566","3481","0.203"
"159","Northern Colo.","111","15-14","1470","627","4165","0.202"
"160","Furman","110","13-16","1488","613","4326","0.202"
"161","Tulsa","114","19-12","1435","545","4409","0.202"
"162","UCLA","101","13-14","1257","498","3761","0.202"
"163","Miami (OH)","124","23-9","1588","667","4565","0.202"
"164","San Jose St.","103","16-11","1354","621","3643","0.201"
"165","Ohio St.","122","12-20","1503","673","4139","0.201"
"166","Southeast Mo. St.","112","16-14","1385","579","4020","0.200"
"167","Akron","103","11-16","1280","549","3650","0.200"
"168","Northern Ky.","121","21-10","1651","651","4995","0.200"
"169","Northwestern St.","101","12-15","1244","527","3585","0.200"
"170","McNeese","114","10-22","1319","542","3887","0.200"
"171","Cornell","93","14-10","1199","527","3370","0.199"
"172","NC State","110","15-13","1451","654","3998","0.199"
"173","Ohio","117","13-18","1452","616","4208","0.199"
"174","FIU","117","19-12","1485","659","4160","0.199"
"175","Incarnate Word","101","10-17","1194","501","3495","0.198"
"176","UNC Asheville","100","16-12","1159","476","3451","0.198"
"177","Navy","118","23-9","1493","653","4251","0.198"
"178","UIC","118","18-13","1610","709","4566","0.197"
"179","Houston Baptist","127","16-16","1650","732","4655","0.197"
"180","Sacramento St.","120","16-16","1486","620","4395","0.197"
"181","UT Arlington","103","16-12","1280","544","3757","0.196"
"182","Coastal Caro.","93","12-13","1153","499","3340","0.196"
"183","Central Conn. St.","95","13-13","1132","466","3414","0.195"
"184","CSUN","108","8-20","1310","589","3702","0.195"
"185","North Florida","122","11-22","1496","669","4256","0.194"
"186","Army West Point","119","14-15","1563","733","4280","0.194"
"187","Sam Houston St.","108","22-8","1361","578","4038","0.194"
"188","New Orleans","121","12-19","1408","619","4073","0.194"
"189","Fordham","108","10-17","1282","545","3809","0.193"
"190","Arizona St.","113","14-18","1405","627","4048","0.192"
"191","Sacred Heart","99","17-10","1300","612","3582","0.192"
"192","North Dakota","120","14-18","1469","621","4431","0.191"
"193","Marist","115","14-15","1397","650","3922","0.190"
"194","New Hampshire","105","12-15","1361","599","4009","0.190"
"195","East Carolina","104","13-16","1288","581","3730","0.190"
"196","Virginia","107","8-20","1305","628","3573","0.189"
"197","Gonzaga","109","11-18","1314","593","3807","0.189"
"198","Temple","113","8-22","1438","621","4328","0.189"
"199","A&M-Corpus Christi","111","9-21","1365","616","3968","0.189"
"200","Albany (NY)","102","16-11","1202","529","3566","0.189"
"201","Saint Louis","98","8-20","1187","555","3364","0.188"
"202","Abilene Christian","118","13-16","1428","622","4293","0.188"
"203","Providence","105","8-21","1263","595","3561","0.188"
"204","Bryant","139","22-13","1882","902","5228","0.187"
"205","Loyola Maryland","119","14-16","1558","710","4533","0.187"
"206","Santa Clara","108","6-24","1315","619","3741","0.186"
"207","Cleveland St.","114","17-12","1415","601","4384","0.186"
"208","Northwestern","113","16-16","1408","694","3851","0.185"
"209","Rider","116","19-11","1367","611","4083","0.185"
"210","Columbia","87","10-14","1083","509","3107","0.185"
"211","Drake","125","21-15","1628","709","4987","0.184"
"212","Xavier","105","10-19","1282","593","3743","0.184"
"213","Southern Utah","112","6-24","1310","568","4035","0.184"
"214","Winthrop","112","16-14","1470","671","4361","0.183"
"215","Seattle U","112","11-19","1373","643","3986","0.183"
"216","SMU","110","12-16","1452","666","4297","0.183"
"217","Robert Morris","116","11-18","1348","605","4076","0.182"
"218","Wofford","111","14-16","1386","657","4000","0.182"
"219","Nevada","113","8-21","1356","625","4012","0.182"
"220","Northern Ill.","122","11-21","1430","642","4330","0.182"
"221","Niagara","105","9-19","1155","490","3656","0.182"
"222","UConn","119","15-16","1613","800","4472","0.182"
"223","Penn","89","6-19","1019","483","2959","0.181"
"224","LIU Brooklyn","91","15-9","1141","533","3358","0.181"
"225","Wake Forest","115","10-20","1302","641","3655","0.181"
"226","Chattanooga","108","10-20","1239","567","3726","0.180"
"227","Butler","105","9-21","1233","571","3672","0.180"
"228","North Carolina","96","8-19","1161","569","3290","0.180"
"229","Delaware","107","9-19","1369","613","4219","0.179"
"230","Marshall","108","10-19","1329","616","3982","0.179"
"231","Western Caro.","105","12-16","1226","522","3932","0.179"
"232","Montana St.","113","11-19","1344","619","4051","0.179"
"233","Duquesne","102","12-16","1219","565","3665","0.178"
"234","St. Francis Brooklyn","104","10-18","1209","582","3514","0.178"
"235","CSU Bakersfield","122","14-16","1470","695","4344","0.178"
"236","UNC Greensboro","103","13-16","1265","584","3822","0.178"
"237","Dartmouth","86","10-15","1003","460","3053","0.178"
"238","Alabama St.","142","23-18","1619","830","4437","0.178"
"239","Houston","126","17-16","1612","766","4769","0.177"
"240","Bowling Green","114","19-12","1397","586","4586","0.177"
"241","Indiana St.","111","10-20","1315","594","4080","0.177"
"242","Grand Canyon","107","11-17","1242","581","3749","0.176"
"243","Oral Roberts","114","9-19","1390","627","4328","0.176"
"244","Mississippi St.","110","5-26","1235","594","3639","0.176"
"245","San Francisco","109","9-20","1259","583","3841","0.176"
"246","USC Upstate","124","13-19","1470","675","4518","0.176"
"247","Northeastern","109","16-14","1375","670","4007","0.176"
"248","Kent St.","116","13-18","1354","603","4269","0.176"
"249","Middle Tenn.","101","7-21","1180","579","3428","0.175"
"250","New Mexico","122","15-15","1418","703","4082","0.175"
"251","Lamar University","99","7-20","1101","573","3026","0.174"
"252","Troy","116","11-19","1437","720","4111","0.174"
"253","Bucknell","99","8-19","1101","511","3383","0.174"
"254","Montana","114","10-21","1392","685","4061","0.174"
"255","Florida A&M","103","11-17","1171","543","3610","0.174"
"256","Memphis","114","11-19","1372","683","3972","0.173"
"257","Eastern Ill.","112","10-21","1292","549","4288","0.173"
"258","Rutgers","114","6-27","1310","680","3638","0.173"
"259","Quinnipiac","112","9-21","1351","675","3921","0.172"
"260","Tennessee St.","113","9-19","1311","612","4057","0.172"
"261","Presbyterian","112","10-17","1273","611","3846","0.172"
"262","UMBC","106","7-19","1296","630","3895","0.171"
"263","Milwaukee","114","8-22","1450","684","4508","0.170"
"264","UT Martin","123","14-17","1509","734","4568","0.170"
"265","Hampton","103","8-19","1212","631","3426","0.170"
"266","Evansville","121","10-21","1471","745","4292","0.169"
"267","Oakland","108","10-17","1313","645","3964","0.169"
"268","West Virginia","112","11-19","1313","661","3874","0.168"
"269","Central Mich.","106","7-21","1319","665","3894","0.168"
"270","Bethune-Cookman","119","16-16","1324","644","4056","0.168"
"271","Fairfield","107","14-16","1354","700","3911","0.167"
"272","Toledo","106","9-18","1233","582","3913","0.166"
"273","Elon","105","13-15","1247","605","3861","0.166"
"274","South Dakota St.","104","6-23","1200","594","3655","0.166"
"275","Wright St.","114","15-14","1387","669","4332","0.166"
"276","Portland St.","107","5-25","1184","556","3790","0.166"
"277","Louisiana Tech","106","6-23","1214","581","3830","0.165"
"278","UC Riverside","110","9-19","1349","674","4089","0.165"
"279","La.-Monroe","104","11-19","1129","542","3605","0.163"
"280","N.C. A&T","93","14-12","1122","619","3104","0.162"
"281","Oregon St.","121","11-21","1507","759","4620","0.162"
"282","The Citadel","113","12-19","1263","653","3780","0.161"
"283","Ga. Southern","119","9-22","1338","702","3943","0.161"
"284","Charleston So.","97","13-12","1107","525","3612","0.161"
"285","SIUE","105","9-20","1324","674","4045","0.161"
"286","Rhode Island","96","9-17","1072","546","3284","0.160"
"287","UTEP","99","5-21","1128","566","3522","0.160"
