 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"31","Amanda Sanabia","St. John's (NY)","Jr.","5-5","L/DS","138","716","5.19"
"32","Marija Popovic","ETSU","So.","5-5","L","125","648","5.18"
"33","Andie Hanus","Delaware","Jr.","5-8","L/DS","107","553","5.17"
"34","Madison Martin","Charleston So.","Sr.","5-6","DS","97","501","5.16"
"35","Alycia Wodke","Idaho","Sr.","5-8","OH","123","634","5.15"
"36","Miranda Karlen","Northern Ill.","So.","5-6","L/DS","122","627","5.14"
"37","Zana Muno","UCLA","Sr.","5-10","L/DS","101","519","5.14"
"38","Anne Hughes","Eastern Ill.","Jr.","5-7","DS","112","574","5.13"
"39","Jordan Pingel","UCF","Sr.","5-7","L","117","597","5.10"
"40","Molly Kelly","Iowa","Sr.","5-4","DS","121","617","5.10"
"41","Rachael Dohar","Cleveland St.","Sr.","5-4","DS","114","579","5.08"
"42","Emily Butters","Missouri St.","Sr.","5-8","L","118","599","5.08"
"43","Erin Gardner","Kent St.","Fr.","5-5","L/DS","114","578","5.07"
"44","Lindsay Wightman","Oakland","So.","5-6","L/DS","105","532","5.07"
"45","Rylee Cookerly","Valparaiso","So.","5-2","L","146","739","5.06"
"46","Sarah Driscoll","James Madison","Jr.","5-5","DS","112","566","5.05"
"47","Amber Weber","Marshall","Jr.","5-4","L/DS","108","545","5.05"
"48","Meg DeMaar","Furman","Sr.","5-10","L","110","555","5.05"
"49","Ryann DeJarld","Notre Dame","Sr.","5-9","L","106","532","5.02"
"50","Keyton Kinley","Oklahoma","So.","5-5","DS","108","541","5.01"
"51","Becca Fernandez","Murray St.","So.","5-2","L/DS","116","581","5.01"
"52","Nicole Otero","Albany (NY)","Sr.","5-7","L/DS","102","507","4.97"
"","Camryn Vecera","Duquesne","Sr.","5-5","L","102","507","4.97"
"54","Emilia Petrachi","UC Santa Barbara","Sr.","5-6","DS","112","555","4.96"
"55","Rachelle Runyon","Rider","Jr.","5-4","DS","116","574","4.95"
"56","Jess Grabowski","Milwaukee","Fr.","5-4","DS","114","561","4.92"
"57","Brooke Nuneviller","Oregon","Fr.","5-11","L","118","580","4.92"
"58","Kate Swanson","Yale","Sr.","5-8","L","81","398","4.91"
"59","Madison Wallace","Sam Houston St.","Sr.","6-1","OH","107","524","4.90"
"60","Teagan DeFalco","Grand Canyon","So.","5-8","L","107","523","4.89"
"61","Morgan Hentz","Stanford","Jr.","5-9","L","121","591","4.88"
"62","Channing Burleson","Northwestern St.","Sr.","5-8","OH","101","493","4.88"
"63","Jenna Story","Wright St.","Fr.","-","L/DS","114","556","4.88"
"64","Jenna Lerg","Michigan","Sr.","5-6","DS","122","594","4.87"
"65","Lee Ann Cunningham","Rice","Jr.","5-7","DS","118","574","4.86"
"66","Martha Konovodoff","Marquette","So.","5-7","DS","115","559","4.86"
"67","Tori Roe","Oral Roberts","Sr.","5-6","L","114","554","4.86"
"68","Lillian Drever","Abilene Christian","Sr.","5-3","L","95","461","4.85"
"69","Anna Holehouse","Towson","Sr.","5-3","L/DS","123","595","4.84"
"70","Luiza Andrade","San Jose St.","Sr.","5-5","L","103","498","4.83"
"71","Victoria Garrick","Southern California","Sr.","5-10","L","125","604","4.83"
"72","Gina Rivera Ortiz","Tennessee St.","Fr.","5-6","L","112","541","4.83"
"73","Jordan Anderson","Northern Ariz.","Sr.","5-6","DS","132","635","4.81"
"74","Adriana Nieto","NJIT","Sr.","5-6","DS","109","523","4.80"
"75","Raigen Cianciulli","LSU","So.","5-4","DS","113","542","4.80"
"76","Lina Bernier","FIU","Jr.","5-11","OH","117","558","4.77"
"77","Kylee Macke","Drake","So.","5-6","DS","121","577","4.77"
"78","Catie Espinoza","George Mason","Sr.","6-0","L","91","432","4.75"
"79","Valentina Carrasco","Florida A&M","Sr.","5-6","L","103","488","4.74"
"80","Kendall White","Penn St.","Jr.","5-5","DS","118","558","4.73"
"81","Meagan Sanchez","Western Caro.","Jr.","5-2","L","105","496","4.72"
"82","Isabelle Banez","DePaul","So.","5-6","L/DS","93","439","4.72"
"83","Madisen Zyburt","UNC Asheville","Sr.","5-8","L/DS","100","470","4.70"
"84","Kendyl Sorge","UNI","Sr.","5-7","L/DS","126","592","4.70"
"85","Malia Bolko","UC Davis","Sr.","5-8","L","94","441","4.69"
"86","Makenzie Kuchmaner","NC State","Sr.","5-8","DS","110","516","4.69"
"87","Kathleen Reilly","Western Mich.","Jr.","5-5","L/DS","116","544","4.69"
"88","Krista Hernandez","CSU Bakersfield","So.","5-5","L","118","553","4.69"
"89","Jessica Paolucci","Iona","Jr.","5-7","L","102","478","4.69"
"90","Kate Avila","Ball St.","Jr.","5-6","DS","120","560","4.67"
"91","Miahna Waters","Southern Utah","Fr.","5-8","L","112","522","4.66"
"92","Haley DeSales","UC Irvine","Sr.","6-0","OH","105","489","4.66"
"93","Reagan Leonard","Fresno St.","So.","5-7","L/DS","130","605","4.65"
"94","Taliyah Flores","North Dakota","Fr.","-","-","111","515","4.64"
"95","Bella Bowman","George Washington","Fr.","5-7","L","102","473","4.64"
"96","Quincey Gary","Alabama","Sr.","5-10","DS","116","537","4.63"
"97","Grace Massey","Oregon St.","So.","5-5","DS","121","560","4.63"
"98","Chloe Rojas","Eastern Ky.","Sr.","5-4","DS","104","480","4.62"
"99","Macy Reihing","Ohio","So.","5-3","L/DS","116","535","4.61"
"100","Chelcie Spence","Stetson","So.","5-2","DS","107","492","4.60"
"101","Taylor Rudeen","Fairfield","Sr.","5-8","DS","107","491","4.59"
"102","Katherine Brouker","Cal Poly","Sr.","5-9","L","96","440","4.58"
"103","Allegra Rivas","Maryland","Fr.","5-10","L","114","522","4.58"
"104","Tijana Milojevic","Seattle U","So.","5-7","L","108","493","4.56"
"105","Reyn Akiu","Hawaii","Sr.","5-2","L/DS","102","465","4.56"
"106","Kenzie Higareda","Georgetown","Sr.","5-1","L","111","506","4.56"
"107","Fola Wilson","Howard","So.","5-3","L","108","491","4.55"
"108","Carlie Skelton","Winthrop","Sr.","5-2","DS","94","427","4.54"
"109","Cayce Chaykowsky","Saint Louis","Fr.","5-5","DS","95","431","4.54"
"110","Josie Treadwell","Davidson","Jr.","5-10","OH","87","394","4.53"
"111","Sydney Davis","Louisiana","Sr.","5-10","L","112","507","4.53"
"112","Maddie Jaudon","Elon","Sr.","5-6","DS","105","475","4.52"
"113","Jess Barrett","Saint Francis (PA)","Fr.","5-11","L/DS","88","397","4.51"
"114","Katie McCullough","UNCW","Sr.","5-10","OH","102","460","4.51"
"115","Emma Reilly","Appalachian St.","So.","5-6","L/DS","111","500","4.50"
"116","Madelynn Miller","Incarnate Word","So.","5-3","L/DS","93","418","4.49"
"117","Andrea Laboy-Rivera","N.C. A&T","Fr.","5-5","DS","89","400","4.49"
"118","Madelyn St. Germain","UT Arlington","Jr.","5-6","L","102","457","4.48"
"119","Courtney Leffel","Arizona St.","Jr.","5-5","L/DS","113","506","4.48"
"120","Meredith Klare","Xavier","Sr.","5-7","L","105","470","4.48"
"121","Bayli Lebo","Indiana","So.","5-7","DS","118","525","4.45"
"122","Angela McGownd","McNeese","Jr.","5-6","DS","114","506","4.44"
"123","Kristin Watson","UMBC","Sr.","5-5","DS","106","470","4.43"
"124","Kizzy Rodriguez","St. Francis Brooklyn","Fr.","5-4","L","103","455","4.42"
"","Taylor Sharrits","Akron","So.","5-7","DS","103","455","4.42"
"126","Sydney Shearn","Navy","Sr.","5-6","DS","118","521","4.42"
"127","Kelsey Wicinski","Florida St.","Jr.","5-10","L","109","481","4.41"
"128","Tiffany Clark","Wisconsin","Jr.","5-11","L","117","516","4.41"
"129","Kaylie McHugh","Tulane","Jr.","5-6","L","142","626","4.41"
"130","Lily Barber","Cornell","Jr.","5-6","DS","93","409","4.40"
"131","Elizabeth Kline","UConn","Sr.","5-6","L/DS","121","532","4.40"
"132","Madi Fields","Wyoming","Jr.","5-6","DS","111","488","4.40"
"133","Manuela Conte","UIC","So.","6-1","OH","118","516","4.37"
"134","Alyssa Rehrer","Manhattan","Sr.","5-7","DS","81","354","4.37"
"135","Mia Heirakuji","Temple","Sr.","5-5","DS","110","480","4.36"
"136","Gabby Curry","Kentucky","So.","5-8","DS","109","475","4.36"
"137","Alexis Dirige","Washington St.","Jr.","5-2","DS","129","562","4.36"
"138","Ginny Gerig","Austin Peay","Jr.","5-5","L","108","470","4.35"
"139","Seren Merrill","Utah Valley","So.","5-8","L/DS","138","600","4.35"
"140","Paige Swinney","Sacramento St.","So.","5-11","L/DS","116","503","4.34"
"141","Morgan O'Brien","Illinois","So.","5-8","DS","132","571","4.33"
"142","Zoe Leonard","Dartmouth","Sr.","5-10","L","74","320","4.32"
"143","Brittany Witt","Creighton","Jr.","5-8","L/DS","118","510","4.32"
"144","Jade York","Indiana St.","Jr.","5-5","L/DS","111","479","4.32"
"145","Erika Ward","Bryant","So.","5-1","L","129","556","4.31"
"146","Carey Williams","Portland","So.","5-7","L/DS","124","534","4.31"
"147","Kirsten Brugere","Tennessee Tech","Sr.","5-5","L","118","507","4.30"
"148","Grace Tiesman","Samford","Jr.","5-8","DS","125","536","4.29"
"149","Molly Sauer","Louisville","Sr.","5-7","DS","116","497","4.28"
"150","Kristen Largay","American","Jr.","5-7","L","121","518","4.28"
Reclassifying
"NR","Nicole Abreu","California Baptist","Jr.","6-0","OH","127","579","4.56"
"NR","Genesis Benitez","North Ala.","Jr.","5-2","DS","81","359","4.43"

NCAA Women's Volleyball
Division IHitting Percentage
Through Games 12/15/2018

Must average 3.33 attacks per set.
       
"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Errors","Total Attacks","Pct."
"1","Santita Ebangwese","Syracuse","Sr.","6-0","MB","108","253","50","478","0.425"
"2","Dana Rettke","Wisconsin","So.","6-8","MB","117","438","79","848","0.423"
"3","Lauren Stivrins","Nebraska","So.","6-4","MB","133","314","67","587","0.421"
"4","Tyrecia Lukes","UMKC","Jr.","6-1","MH","117","354","76","662","0.420"
"5","Sharonda Pickering","FGCU","So.","6-2","MB","116","222","39","437","0.419"
"6","Tami Alade","Stanford","Sr.","6-2","MB","107","204","43","394","0.409"
"7","Brooke Morgan","Kentucky","Sr.","6-5","OPP","109","257","56","492","0.409"
"8","Abby Akin","Northern Ariz.","Jr.","6-3","MB","125","325","55","668","0.404"
"9","Layne Van Buskirk","Pittsburgh","Jr.","6-3","MH","113","314","74","595","0.403"
"10","Regan Pittman","Minnesota","So.","6-5","MB","106","274","53","552","0.400"
"11","Veronica Marin","Little Rock","Sr.","6-2","MB","125","326","46","701","0.399"
"12","Shelly Stafford","Baylor","Jr.","6-2","MB","118","370","73","749","0.397"
"13","Madison Hill","UT Arlington","Jr.","6-1","MB","103","289","58","585","0.395"
"14","Hannah DeYoung","Weber St.","Jr.","6-2","MB","103","199","46","388","0.394"
"15","Alyssa Munlyn","Missouri","Sr.","6-2","MB","119","212","39","439","0.394"
"16","Naghede Abu","Colorado","Sr.","6-4","MB","96","219","43","447","0.394"
"17","Erica Treiber","Tennessee","Sr.","6-1","MH","125","363","70","748","0.392"
"18","Addison Picha","San Diego","Sr.","6-2","MB","112","238","50","481","0.391"
"19","Clare Lenihan","Princeton","So.","6-2","MB","70","190","36","398","0.387"
"20","Kaitlyn Hord","Penn St.","---","6-4","-","104","220","45","457","0.383"
"21","Jasmin Sneed","VCU","Jr.","6-0","MB","105","199","36","427","0.382"
"22","Emma Johnson","LMU (CA)","Jr.","6-0","MB","102","206","61","381","0.381"
"23","Heather Gneiting","BYU","Fr.","6-4","MB","106","225","60","434","0.380"
"24","Taylor Morgan","Minnesota","Jr.","6-0","MB","103","249","60","499","0.379"
"25","Taylor Wilson","South Dakota","Sr.","6-0","MB","111","362","80","748","0.377"
"26","Loren McKenzie","American","Sr.","6-4","MB","113","212","44","446","0.377"
"27","Cassie Haut","Eastern Mich.","Jr.","6-2","RS","122","392","103","769","0.376"
"28","Jenna Rosenthal","Marquette","Sr.","6-6","MH","115","286","61","599","0.376"
"29","Abbi Reid","Fla. Atlantic","Sr.","5-11","MB","97","246","55","509","0.375"
"30","Leah Meyer","Duke","Sr.","6-3","MB","108","271","63","555","0.375"
"31","Doris Bogoje","Hofstra","Sr.","6-2","MB","120","227","57","454","0.374"
"32","Cidavia Hall","Alabama","Sr.","6-1","MB","116","196","47","398","0.374"
"33","Molly Livingston","High Point","Sr.","6-2","MB","101","281","62","585","0.374"
"34","Yaasmeen Bedart-Ghani","Texas","Sr.","6-4","OH","76","204","46","423","0.374"
"35","Devonne Ryter","Idaho","Sr.","6-0","MB","108","222","47","473","0.370"
"36","Maya Evans","Alabama A&M","So.","6-0","MH","122","249","57","520","0.369"
"37","Grace Morgan","Rice","Jr.","6-2","MB","115","311","73","645","0.369"
"38","Olamide Sonuga","Towson","Sr.","5-10","MH","122","192","30","440","0.368"
"39","Preslie Anderson","California","So.","6-2","MB","117","240","50","520","0.365"
"40","Torrey Van Winden","Cal Poly","Jr.","6-3","OH","92","466","107","984","0.365"
"41","Kirstie Hillyer","Colorado St.","Jr.","6-6","MB","112","341","97","673","0.363"
"42","Megan Hart","New Mexico St.","Jr.","6-5","MB","123","260","73","517","0.362"
"43","Devyn Cross","Arizona","Jr.","6-0","MB","108","222","57","457","0.361"
"44","Michela Rucli","Hofstra","Sr.","6-1","MB","125","279","72","575","0.360"
"45","Maggie O'Connell","Princeton","Jr.","6-4","MB","80","271","69","563","0.359"
"46","Alexis Coombs","Southern Miss.","Sr.","6-1","OH","124","263","69","541","0.359"
"47","Brionne Butler","Texas","So.","6-4","MB","101","204","59","405","0.358"
"48","Blake Mohler","Purdue","Jr.","6-2","MB","130","316","93","623","0.358"
"49","Carol Barbosa","Little Rock","Jr.","6-0","MH","109","251","68","512","0.357"
"50","Alyssa Deloney","Clemson","So.","6-0","OH","108","242","64","499","0.357"
"51","Kainah Williams","Liberty","Jr.","6-2","MB","78","165","47","331","0.356"
"52","Allie Barber","Marquette","Jr.","6-5","OH","115","537","125","1156","0.356"
"53","M'Kaela White","James Madison","Jr.","6-3","MB","112","308","75","654","0.356"
"54","Madison Daigle","Texas St.","Sr.","6-1","MB","113","283","75","585","0.356"
"55","Kendyll Brown","Dayton","Sr.","6-1","MB","116","280","77","571","0.356"
"56","Megan Beedie","Arizona St.","So.","6-1","MB","109","192","49","403","0.355"
"57","Marissa Stockman","Illinois St.","Fr.","6-3","MB","114","259","60","561","0.355"
"58","Paulina Hougaard-Jensen","Colorado St.","Jr.","6-1","MB","112","285","76","592","0.353"
"59","Allison Bloss","Texas Tech","So.","6-2","MB","77","144","40","295","0.353"
"60","Cailea Gibbs","Fla. Atlantic","Jr.","6-0","MB","100","211","65","415","0.352"
"61","Tionna Williams","Wisconsin","Sr.","6-2","MB","113","227","61","472","0.352"
"62","Ali Bastianelli","Illinois","Sr.","6-3","MB","132","298","86","603","0.352"
"63","Taryn Knuth","Florida St.","So.","6-3","MB","109","264","63","572","0.351"
"64","Camila Vazquez","Canisius","Fr.","6-2","MB","99","241","72","481","0.351"
"65","Morgan Johnson","Texas","Sr.","6-3","MB","101","175","42","380","0.350"
"66","Jasmine Bennett","Louisville","Sr.","6-2","MB","86","217","59","452","0.350"
"67","Kira Porter","Howard","Jr.","5-11","MB","105","252","58","555","0.350"
"68","Rachael Kramer","Florida","Jr.","6-8","MB","123","267","78","542","0.349"
"69","Amber Witherspoon","Syracuse","Sr.","6-4","MB","106","186","48","397","0.348"
"70","Anna Gragg","Liberty","Jr.","6-3","MB","109","244","63","521","0.347"
"71","Danae Daron","SFA","Jr.","6-0","MB","114","266","83","527","0.347"
"72","Nia Diaz","St. John's (NY)","Jr.","6-0","MH","125","215","48","481","0.347"
"73","Dani Szczepanski","Chattanooga","Jr.","6-0","MB","108","242","58","530","0.347"
"74","Sarah Ciszek","Sacred Heart","Fr.","5-10","S","99","166","39","366","0.347"
"75","Kodie Comby","Georgia Tech","Jr.","6-1","MB","118","224","66","456","0.346"
"76","Rachel Anderson","Western Ky.","Sr.","6-1","MH","117","397","110","830","0.346"
"77","Kennedy Eschenberg","BYU","So.","6-4","MB","107","205","50","449","0.345"
"","Alexandra Holt","Pacific","Sr.","6-0","MB","113","200","45","449","0.345"
"79","Mallory McKnight","Radford","Jr.","5-11","MB","106","310","82","661","0.345"
"80","Brittany Lawrence","Northern Colo.","Sr.","6-4","MB","98","193","50","415","0.345"
"81","Sarah Liva","Hawaii","Sr.","6-1","MH","73","149","42","311","0.344"
"82","Piper Thomas","UNI","Sr.","6-1","MH","126","465","116","1015","0.344"
"83","Anota Adekunle","Rice","Fr.","5-11","MB","106","210","64","425","0.344"
"84","Isabella Sade","Omaha","So.","6-2","MB","110","308","88","641","0.343"
"85","Audrey Adams","Xavier","So.","6-2","MB","100","219","60","464","0.343"
"86","Ronika Stone","Oregon","Jr.","6-2","MB","126","380","106","801","0.342"
"87","Paige Alsten","Mercer","Sr.","6-3","MB","107","345","91","743","0.342"
"88","Grace Lazard","Iowa St.","Sr.","6-2","MB","104","295","84","618","0.341"
"89","Allison Impellizeri","Providence","Sr.","6-1","MB","105","326","94","681","0.341"
"90","Lauren Witte","Ohio St.","So.","6-2","MB","122","294","77","637","0.341"
"91","Taelor Kellum","Florida","Sr.","6-2","MB","119","231","68","479","0.340"
"92","Audriana Fitzmorris","Stanford","Jr.","6-6","OPP","120","342","83","763","0.339"
"93","Samantha Anderson","Central Ark.","Sr.","6-3","MB","113","422","107","928","0.339"
"94","Jenna Bridges","Hartford","Jr.","6-2","MB","86","353","102","740","0.339"
"95","Francesca Meldrum","Dartmouth","Fr.","6-2","MB","66","121","31","266","0.338"
"96","Jordan Hefner","High Point","Sr.","6-1","MB","95","197","59","408","0.338"
"97","Meredith Teague","LMU (CA)","So.","6-2","OH","108","186","53","395","0.337"
"98","Jocelyn Stoner","Charlotte","Jr.","6-2","OH","124","234","54","535","0.336"
"99","Deyshia Lofton","Indiana","Jr.","6-2","MB","120","281","79","601","0.336"
"100","Reed Copeland","Wyoming","Sr.","6-2","MB","119","240","67","515","0.336"
"","Daniele Serrano","FGCU","Jr.","6-1","MB","115","224","51","515","0.336"
"102","Caitlyn Cooper","Kentucky","Jr.","5-11","OH","86","183","48","402","0.336"
"103","Kara Teal","UTSA","Jr.","6-0","MH","105","246","65","539","0.336"
"104","Alexandra Ecker","UTRGV","Sr.","5-10","MB","112","174","31","426","0.336"
"105","Jordyn Williams","North Texas","Sr.","6-1","MB","130","294","82","632","0.335"
"106","Tina Boe","Denver","So.","6-0","MB","110","216","52","490","0.335"
"107","Tarah Wylie","Pepperdine","Jr.","6-5","MB","111","224","56","503","0.334"
"108","Katie Barker","Portland","Jr.","6-1","MB","124","281","75","617","0.334"
"109","Chinaza Ndee","Pittsburgh","So.","5-11","MH","114","219","69","450","0.333"
"110","Makayla Wolfe","UC Irvine","Jr.","6-3","MB","105","215","56","478","0.333"
"111","Jordan Thompson","Cincinnati","Jr.","6-4","RS","132","827","226","1807","0.333"
"112","Naya Gros","Michigan St.","Fr.","6-3","MB","120","249","81","508","0.331"
"113","Sydney Boerst","Purdue Fort Wayne","So.","6-0","MH","120","280","93","568","0.329"
"114","Tori Baldwin","VCU","Sr.","6-3","MB","105","184","52","401","0.329"
"115","Katie Patrick","Navy","Sr.","6-2","MB","110","232","58","529","0.329"
"116","Zoe Birnbrich","Toledo","Jr.","6-1","MH","106","299","77","675","0.329"
"117","Meredith Phillips","Cal Poly","Fr.","6-3","MB","90","164","52","341","0.328"
"118","Veronica Jones-Perry","BYU","Sr.","6-0","OH","105","506","149","1088","0.328"
"119","Sigourney Kame","Fla. Atlantic","Jr.","6-1","RS","88","320","107","651","0.327"
"120","Wies Hurkmans","St. Francis Brooklyn","Jr.","6-1","MB","87","146","38","331","0.326"
"121","Kristina Nieves","Buffalo","Jr.","6-3","MB","113","195","62","408","0.326"
"122","Emma Willis","Denver","Sr.","6-3","MB","110","187","48","427","0.326"
"123","Jocelyn Urias","Washington St.","Jr.","6-3","MB","130","298","66","713","0.325"
"124","Ali Line","Illinois St.","Sr.","6-1","MB","115","304","75","704","0.325"
"125","Yizhi Xue","Long Beach St.","Jr.","6-4","MB","113","193","47","449","0.325"
"126","Peyton Williams","Kansas St.","So.","6-3","MB","75","141","37","320","0.325"
"127","Serena Gray","Penn St.","---","6-2","-","96","177","62","354","0.325"
"128","Symone Speech","Georgetown","Sr.","6-3","MB","102","299","82","668","0.325"
"129","Kaitlyn Grice","New Orleans","Sr.","6-2","MB","121","285","70","662","0.325"
"130","Addisyn Rowe","Tennessee","Fr.","6-3","MB","125","248","83","509","0.324"
"131","Bridget Wallenberger","Miami (FL)","Fr.","6-2","MB","94","191","57","414","0.324"
"132","Iva Deak","Temple","Sr.","6-1","DS","98","204","54","464","0.323"
"133","Thaliana Grajeda","San Jose St.","Jr.","6-0","MB","103","193","55","427","0.323"
"134","Ashley Richardson","Akron","Jr.","6-1","MB","103","255","61","601","0.323"
"135","Kaylee Taff","Austin Peay","Sr.","6-0","MB","115","221","48","536","0.323"
"136","Deja Harris","San Diego St.","Sr.","6-2","MB","125","376","133","754","0.322"
"137","Margaret Payne","Miami (OH)","Jr.","6-0","MH","124","321","94","705","0.322"
"138","Anna Blaschko","Omaha","So.","6-1","MH","112","272","78","603","0.322"
"139","Shayla Phillip","Samford","Jr.","5-10","MB","134","305","97","648","0.321"
"140","Meg Starling","Ball St.","Sr.","6-6","MB","110","231","58","539","0.321"
"141","Lauren Forte","California","Fr.","6-3","MB","88","161","57","325","0.320"
"142","Kennedy Madison","Col. of Charleston","Sr.","6-0","MB","131","459","133","1021","0.319"
"143","Caitlyn Della","Wake Forest","Jr.","6-3","MB","115","262","83","561","0.319"
"144","Silvia Grassini","Towson","Jr.","5-10","MB","123","204","56","464","0.319"
"145","Mikaela Foecke","Nebraska","Sr.","6-3","OH","133","514","103","1297","0.317"
"146","Sydnee VanBeek","Ball St.","Jr.","6-2","MH","113","306","96","663","0.317"
"147","Lauren Reichard","Ga. Southern","Sr.","6-0","MH","118","306","94","670","0.316"
"148","Madeline Davis","Louisiana Tech","Jr.","6-2","MB","106","230","60","538","0.316"
"149","Haile Watson","Fresno St.","Sr.","6-2","MB","130","271","86","587","0.315"
"150","Callie Cook","Tulsa","So.","6-2","MB","113","227","69","502","0.315"
Reclassifying
"NR","Sydney Marks","California Baptist","So.","6-0","MB","128","302","75","716","0.317"

NCAA Women's Volleyball
Division IKills Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Per Set"
"1","Jordan Thompson","Cincinnati","Jr.","6-4","RS","132","827","6.27"
"2","Lindsey Ruddins","UC Santa Barbara","Jr.","6-2","OH","110","587","5.34"
"3","Torrey Van Winden","Cal Poly","Jr.","6-3","OH","92","466","5.07"
"4","Veronica Jones-Perry","BYU","Sr.","6-0","OH","105","506","4.82"
"5","Kendra Dahlke","Arizona","Sr.","6-0","OH","102","487","4.77"
"6","Karlie Taylor","UNI","Jr.","5-11","OH","118","563","4.77"
"7","Carlisa May","Arkansas St.","Sr.","5-10","OH","123","584","4.75"
"8","Elan McCall","TCU","Fr.","6-0","OH","78","370","4.74"
"9","Emily Stroup","Ole Miss","Jr.","6-0","OH","124","584","4.71"
"10","Yossiana Pressley","Baylor","So.","6-0","OH","110","517","4.70"
"11","Kathryn Plummer","Stanford","Jr.","6-6","OH","116","545","4.70"
"12","Allie Barber","Marquette","Jr.","6-5","OH","115","537","4.67"
"13","Leah Edmond","Kentucky","Jr.","6-2","OH","109","498","4.57"
"14","Taylor Wolf","Green Bay","So.","6-2","S","113","513","4.54"
"15","McKenna Melville","UCF","Fr.","6-1","OH","117","529","4.52"
"16","Alyssa Enneking","Oklahoma","Sr.","5-11","OPP","108","479","4.44"
"17","Hollann Hans","Texas A&M","Jr.","6-1","OH","120","528","4.40"
"18","Brooke Botkin","Southern California","So.","6-1","OH","114","500","4.39"
"19","Maria Bellinger","Delaware","Jr.","6-1","OH","106","464","4.38"
"20","Payton Caffrey","Florida St.","So.","6-0","OH","109","476","4.37"
"21","Erika Pritchard","Maryland","So.","6-2","OH","114","493","4.32"
"22","Andrea Mitrovic","Buffalo","So.","6-2","OH","110","474","4.31"
"23","Erica Haslag","Bradley","Sr.","5-11","OH","127","543","4.28"
"","Mariena Hayden","UNLV","So.","6-0","OH","127","543","4.28"
"25","Khalia Lanier","Southern California","Jr.","6-2","OH","107","457","4.27"
"26","Lauren Bruns","Dayton","Sr.","6-1","OH","118","502","4.25"
"27","Ciara DeBell","Marshall","So.","6-2","OH","103","437","4.24"
"28","Jacqueline Quade","Illinois","Jr.","6-2","OH","132","560","4.24"
"29","Polina Shemanova","Syracuse","Fr.","6-0","OH","106","447","4.22"
"30","Kylie Grandy","Southern Miss.","Sr.","5-11","OH","126","530","4.21"
"31","Rachel Tam","Evansville","Jr.","5-9","OH","117","492","4.21"
"32","Sherridan Atkinson","Purdue","Sr.","6-5","OH","130","546","4.20"
"33","Carly Skjodt","Michigan","Sr.","6-1","OH","122","512","4.20"
"34","Jess Schaben","Iowa St.","Sr.","6-2","OH","123","516","4.20"
"35","Tessa Grubbs","Tennessee","Jr.","6-3","OH","108","453","4.19"
"36","T'Ara Ceasar","Georgia","So.","6-1","OH","90","376","4.18"
"37","Taryn Kloth","Creighton","Sr.","6-4","OH","118","490","4.15"
"38","Dani Drews","Utah","So.","6-0","RS","126","522","4.14"
"39","Aeryn Owens","CSUN","Sr.","6-0","OH","108","446","4.13"
"40","Maya Taylor","Saint Louis","So.","5-11","OH","98","403","4.11"
"41","Jenna Bridges","Hartford","Jr.","6-2","MB","86","353","4.10"
"42","Nicole Lennon","Rice","So.","6-2","OH","118","482","4.08"
"43","Breana Runnels","Colorado St.","So.","5-10","OH","112","454","4.05"
"44","Rachel Giustino","Murray St.","Jr.","5-10","OH","116","470","4.05"
"45","Carlyle Nusbaum","Lipscomb","Sr.","5-10","OH","108","436","4.04"
"46","Sara Kovac","LMU (CA)","Sr.","6-0","OPP","111","448","4.04"
"47","Taylor Bannister","LSU","So.","6-5","MB","113","456","4.04"
"48","Hayley Dotseth","South Dakota","Sr.","5-11","OH","111","447","4.03"
"49","Janet Kalaniuvalu","Southern Utah","So.","6-2","OH","112","451","4.03"
"50","Leah Clayton","ETSU","Jr.","5-11","OH","125","503","4.02"
"51","Cortney VanLiew","FGCU","So.","5-11","OH","120","482","4.02"
"52","Kazna Tarawhiti","Utah Valley","Fr.","5-11","OH","139","558","4.01"
"53","Devon Rachel","Col. of Charleston","Sr.","6-0","OH","128","512","4.00"
"","Meg Wolowicz","Northern Ill.","Sr.","6-4","MB","120","480","4.00"
"55","Courteney Pitt","N.C. A&T","So.","6-1","OH","89","354","3.98"
"56","Caylee Parker","UConn","Fr.","5-11","OH","109","433","3.97"
"57","Mikaela Nocetti","Sacramento St.","Sr.","5-11","OH","114","450","3.95"
"58","Abby Garrity","Idaho St.","Sr.","6-0","OH","123","485","3.94"
"59","Taylor Cunningham","Sam Houston St.","Sr.","5-11","MB","108","422","3.91"
"60","Sharlissa de Jesus","The Citadel","So.","5-9","OH","104","406","3.90"
"61","Maria Yvett Garcia","Florida A&M","Jr.","6-1","OH","103","402","3.90"
"62","Nia Robinson","Northwestern","So.","6-2","OH","101","394","3.90"
"63","Ragni Steen Knudsen","UTRGV","Sr.","5-11","OH","105","409","3.90"
"64","Skylar Iott","George Washington","Jr.","6-0","OH","99","385","3.89"
"65","Haley Libs","Northern Ky.","Sr.","6-0","OH","121","470","3.88"
"66","Claire Archibald","Iona","Sr.","5-10","OH","102","396","3.88"
"67","Micaya White","Texas","Jr.","6-1","OH","101","391","3.87"
